0.9774 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
5.4931 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1680, 1050]. Using actual size
6.3421 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7ffd6d3849d0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7ffd6e1b8940>, multiSample=False, name='window1', numSamples=2, pos=[420.0, 262.5], screen=0, size=array([3360, 2100]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.3423 	EXP 	window1: mouseVisible = True
6.3423 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
6.3423 	EXP 	window1: recordFrameIntervals = False
6.5081 	EXP 	window1: recordFrameIntervals = True
6.8083 	EXP 	Screen (0) actual frame rate measured at 60.77Hz
6.8084 	EXP 	window1: recordFrameIntervals = False
9.0289 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
9.0348 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
9.0453 	EXP 	Imported testsurvey.csv as conditions, 8 conditions, 6 params
9.0454 	WARNING 	Form background included field no longer used questionText. Replacing with new name 'itemText'
9.0454 	WARNING 	questionWidth is a deprecated heading for Forms. Use itemWidth instead
9.0454 	WARNING 	questionWidth is a deprecated heading for Forms. Use itemWidth instead
9.0455 	WARNING 	questionWidth is a deprecated heading for Forms. Use itemWidth instead
9.0455 	WARNING 	questionWidth is a deprecated heading for Forms. Use itemWidth instead
9.0455 	WARNING 	questionWidth is a deprecated heading for Forms. Use itemWidth instead
9.0455 	WARNING 	questionWidth is a deprecated heading for Forms. Use itemWidth instead
9.0455 	WARNING 	questionWidth is a deprecated heading for Forms. Use itemWidth instead
9.0456 	WARNING 	questionWidth is a deprecated heading for Forms. Use itemWidth instead
9.0466 	EXP 	Question text: Are you alone?
9.0840 	EXP 	window1: mouseVisible = True
